Point,J1,J2,J3,J4,J5,J6,X_mm,Y_mm,Z_mm,RX_rad,RY_rad,RX_deg,RY_deg
P112,0.000000,0.000000,143.000000,-180.000000,72.000000,0.000000,-248.955738,95.430807,-1116.911328,2.072206981,-0.072124792,118.728714,-4.132446
P113,0.000000,0.000000,144.000000,-180.000000,72.000000,0.000000,-250.770189,97.037630,-1116.915225,2.073500395,-0.072648975,118.802821,-4.162480
P114,0.000000,0.000000,146.000000,-180.000000,73.000000,0.000000,-253.671291,98.082545,-1114.309978,2.059049781,-0.069721541,117.974862,-3.994750
P115,0.000000,0.000000,147.000000,-180.000000,74.000000,0.000000,-254.740907,97.561058,-1111.672414,2.043327515,-0.066192810,117.074043,-3.792569
P116,0.000000,0.000000,149.000000,-180.000000,74.000000,0.000000,-258.355962,100.769364,-1111.649449,2.045941218,-0.067128954,117.223797,-3.846206
P117,0.000000,0.000000,150.000000,-180.000000,75.000000,0.000000,-259.400363,100.284621,-1108.976675,2.030254566,-0.063467024,116.325018,-3.636393
P118,0.000000,0.000000,152.000000,-180.000000,75.000000,0.000000,-263.009387,103.491555,-1108.930266,2.032883562,-0.064346726,116.475648,-3.686796
P119,0.000000,0.000000,153.000000,-180.000000,76.000000,0.000000,-264.028422,103.043921,-1106.222871,2.017233709,-0.060551798,115.578978,-3.469362
P120,63.000000,63.000000,0.000000,-180.000000,40.000000,0.000000,114.261634,-145.476374,-1163.453746,2.356840208,0.072400848,135.036997,4.148263
P121,64.000000,64.000000,0.000000,-180.000000,40.000000,0.000000,116.109091,-147.071682,-1163.616157,2.355427163,0.073509236,134.956035,4.211769
P122,66.000000,66.000000,0.000000,-180.000000,41.000000,0.000000,119.635498,-153.091869,-1161.933380,2.335130760,0.074600292,133.793137,4.274282
P123,67.000000,67.000000,0.000000,-180.000000,42.000000,0.000000,121.304236,-157.476026,-1160.032357,2.316249663,0.074527080,132.711330,4.270087
P124,69.000000,69.000000,0.000000,-180.000000,42.000000,0.000000,125.000123,-160.663072,-1160.298394,2.313410529,0.076668032,132.548660,4.392755
P125,70.000000,70.000000,0.000000,-180.000000,43.000000,0.000000,126.656928,-165.002237,-1158.320571,2.294527576,0.076501152,131.466746,4.383193
P126,72.000000,72.000000,0.000000,-180.000000,43.000000,0.000000,130.355077,-168.188430,-1158.549861,2.291679943,0.078602021,131.303589,4.503564
P127,73.000000,73.000000,0.000000,-180.000000,44.000000,0.000000,131.999574,-172.481255,-1156.496297,2.272795651,0.078339867,130.221598,4.488544
P128,75.000000,75.000000,0.000000,-180.000000,45.000000,0.000000,135.482433,-178.320772,-1154.475165,2.252484632,0.079030132,129.057863,4.528093
P129,76.000000,76.000000,0.000000,-180.000000,45.000000,0.000000,137.331770,-179.911576,-1154.560660,2.251054416,0.080041322,128.975918,4.586030
P130,78.000000,78.000000,0.000000,-180.000000,46.000000,0.000000,140.802735,-185.701602,-1152.447601,2.230738887,0.080613119,127.811923,4.618791
P131,79.000000,79.000000,0.000000,-180.000000,46.000000,0.000000,142.653127,-187.291724,-1152.514807,2.229304456,0.081603691,127.729737,4.675547
P132,81.000000,81.000000,0.000000,-180.000000,47.000000,0.000000,146.111839,-193.030894,-1150.310976,2.208985042,0.082055440,126.565520,4.701430
P133,82.000000,82.000000,0.000000,-180.000000,48.000000,0.000000,147.708476,-197.132524,-1147.989891,2.190104920,0.081455223,125.483769,4.667041
P134,84.000000,84.000000,0.000000,-180.000000,48.000000,0.000000,151.409385,-200.307223,-1148.066486,2.187223776,0.083355424,125.318691,4.775914
P135,85.000000,85.000000,0.000000,-180.000000,49.000000,0.000000,152.992140,-204.356343,-1145.675165,2.168345179,0.082653571,124.237027,4.735701
P136,87.000000,87.000000,0.000000,-180.000000,49.000000,0.000000,156.695027,-207.529196,-1145.715350,2.165455816,0.084511483,124.071479,4.842151
P137,88.000000,88.000000,0.000000,-180.000000,50.000000,0.000000,158.263593,-211.524597,-1143.255003,2.146579446,0.083706785,122.989943,4.796045
P138,90.000000,90.000000,0.000000,-180.000000,51.000000,0.000000,161.671191,-217.052742,-1140.739234,2.126258949,0.083726068,121.825664,4.797150
P139,91.000000,91.000000,0.000000,-180.000000,51.000000,0.000000,163.522516,-218.635944,-1140.730666,2.124808521,0.084613431,121.742561,4.847992
P140,93.000000,93.000000,0.000000,-180.000000,52.000000,0.000000,166.916350,-224.107022,-1138.130131,2.104487607,0.084506414,120.578258,4.841861
P141,94.000000,94.000000,0.000000,-180.000000,52.000000,0.000000,168.768609,-225.689075,-1138.103436,2.103033241,0.085372159,120.494929,4.891464
P142,96.000000,96.000000,0.000000,-180.000000,53.000000,0.000000,172.148398,-231.101878,-1135.419426,2.082712728,0.085137709,119.330649,4.878031
P143,97.000000,97.000000,0.000000,-180.000000,54.000000,0.000000,173.663096,-234.879247,-1132.718665,2.063854434,0.083972479,118.250149,4.811269
P144,99.000000,99.000000,0.000000,-180.000000,54.000000,0.000000,177.367065,-238.036056,-1132.608440,2.060935211,0.085618767,118.082889,4.905594
P145,128.000000,0.000000,128.000000,-180.000000,66.000000,0.000000,0.142625,288.301717,-1187.350679,2.320027851,0.000053241,132.927804,0.003050
P146,129.000000,0.000000,129.000000,-180.000000,66.000000,0.000000,0.142484,291.651581,-1187.593770,2.322565023,0.000053184,133.073173,0.003047
P147,131.000000,0.000000,131.000000,-180.000000,67.000000,0.000000,0.141828,295.592009,-1185.973161,2.310187895,0.000050981,132.364016,0.002921
P148,132.000000,0.000000,132.000000,-180.000000,68.000000,0.000000,0.141310,296.208624,-1184.075358,2.295273658,0.000048825,131.509493,0.002797
P149,134.000000,0.000000,134.000000,-180.000000,68.000000,0.000000,0.141033,302.921126,-1184.502312,2.300353870,0.000048721,131.800568,0.002791
P150,135.000000,0.000000,135.000000,-180.000000,69.000000,0.000000,0.140513,303.564817,-1182.555424,2.285441798,0.000046559,130.946169,0.002668
P151,137.000000,0.000000,137.000000,-180.000000,69.000000,0.000000,0.140239,310.289543,-1182.937552,2.290526626,0.000046460,131.237509,0.002662
P152,138.000000,0.000000,138.000000,-180.000000,70.000000,0.000000,0.139717,310.960634,-1180.941533,2.275617005,0.000044293,130.383250,0.002538
P153,140.000000,0.000000,140.000000,-180.000000,71.000000,0.000000,0.139058,315.027693,-1179.072762,2.263253733,0.000042073,129.674887,0.002411
P154,141.000000,0.000000,141.000000,-180.000000,71.000000,0.000000,0.138923,318.396550,-1179.233076,2.265800147,0.000042028,129.820786,0.002408
P155,143.000000,0.000000,143.000000,-180.000000,72.000000,0.000000,0.138264,322.497913,-1177.292256,2.253442654,0.000039807,129.112753,0.002281
P156,144.000000,0.000000,144.000000,-180.000000,72.000000,0.000000,0.138130,325.873042,-1177.429419,2.255992105,0.000039765,129.258826,0.002278
P157,146.000000,0.000000,146.000000,-180.000000,73.000000,0.000000,0.137471,330.009105,-1175.416193,2.243640985,0.000037543,128.551159,0.002151
P158,147.000000,0.000000,147.000000,-180.000000,74.000000,0.000000,0.136942,330.798237,-1173.233567,2.228740482,0.000035357,127.697423,0.002026
P159,149.000000,0.000000,149.000000,-180.000000,74.000000,0.000000,0.136680,337.561747,-1173.443898,2.233849634,0.000035282,127.990156,0.002022
P160,150.000000,0.000000,150.000000,-180.000000,75.000000,0.000000,0.136150,338.379918,-1171.212240,2.218952774,0.000033095,127.136629,0.001896
P161,152.000000,0.000000,152.000000,-180.000000,75.000000,0.000000,0.135891,345.156319,-1171.374664,2.224069523,0.000033025,127.429797,0.001892
P162,153.000000,0.000000,153.000000,-180.000000,76.000000,0.000000,0.135360,346.003835,-1169.093902,2.209176617,0.000030837,126.576496,0.001767
P163,155.000000,0.000000,155.000000,-180.000000,77.000000,0.000000,0.134700,350.275494,-1166.829929,2.196848299,0.000028613,125.870136,0.001639
P164,156.000000,0.000000,156.000000,-180.000000,77.000000,0.000000,0.134572,353.670468,-1166.877811,2.199412958,0.000028583,126.017080,0.001638
P165,158.000000,0.000000,158.000000,-180.000000,78.000000,0.000000,0.133913,357.978690,-1164.540137,2.187093506,0.000026363,125.311227,0.001510
P166,159.000000,0.000000,159.000000,-180.000000,78.000000,0.000000,0.133786,361.380298,-1164.563192,2.189662761,0.000026335,125.458435,0.001509
P167,161.000000,0.000000,161.000000,-180.000000,79.000000,0.000000,0.133128,365.725474,-1162.151372,2.177352830,0.000024118,124.753128,0.001382
P168,162.000000,0.000000,162.000000,-180.000000,80.000000,0.000000,0.132594,366.699209,-1159.686285,2.162473719,0.000021926,123.900617,0.001256
P169,164.000000,0.000000,164.000000,-180.000000,80.000000,0.000000,0.132345,373.516331,-1159.662806,2.167627270,0.000021881,124.195894,0.001254
P170,165.000000,0.000000,165.000000,-180.000000,81.000000,0.000000,0.131811,374.520947,-1157.148609,2.152753424,0.000019691,123.343686,0.001128
P171,167.000000,0.000000,167.000000,-180.000000,81.000000,0.000000,0.131565,381.351748,-1157.073575,2.157917849,0.000019650,123.639585,0.001126
P172,168.000000,0.000000,168.000000,-180.000000,82.000000,0.000000,0.131030,382.387533,-1154.510155,2.143049614,0.000017464,122.787698,0.001001
P173,170.000000,0.000000,170.000000,-180.000000,83.000000,0.000000,0.130374,386.876904,-1151.843891,2.130772321,0.000015261,122.084261,0.000874
P174,171.000000,0.000000,171.000000,-180.000000,83.000000,0.000000,0.130253,390.299456,-1151.770011,2.133363343,0.000015245,122.232716,0.000873
P175,173.000000,0.000000,173.000000,-180.000000,84.000000,0.000000,0.129597,394.827592,-1149.027919,2.121098341,0.000013049,121.529983,0.000748
P176,174.000000,0.000000,174.000000,-180.000000,84.000000,0.000000,0.129478,398.257207,-1148.927224,2.123695691,0.000013035,121.678800,0.000747
P177,176.000000,0.000000,176.000000,-180.000000,85.000000,0.000000,0.128824,402.824495,-1146.108742,2.111443716,0.000010846,120.976814,0.000621
P178,177.000000,0.000000,177.000000,-180.000000,86.000000,0.000000,0.128289,403.994105,-1143.362913,2.096594474,0.000008672,120.126015,0.000497
P179,179.000000,0.000000,179.000000,-180.000000,86.000000,0.000000,0.128054,410.868112,-1143.085335,2.101809573,0.000008654,120.424818,0.000496
P180,180.000000,0.000000,180.000000,-180.000000,87.000000,0.000000,0.127519,412.070317,-1140.290107,2.086967414,0.000006486,119.574425,0.000372
P181,182.000000,0.000000,182.000000,-180.000000,87.000000,0.000000,0.127286,418.958945,-1139.956631,2.092197070,0.000006473,119.874062,0.000371
P182,183.000000,0.000000,183.000000,-180.000000,88.000000,0.000000,0.126753,420.194014,-1137.111834,2.077362388,0.000004312,119.024097,0.000247
P183,185.000000,0.000000,185.000000,-180.000000,89.000000,0.000000,0.126104,424.913736,-1134.033651,2.065154106,0.000002152,118.324614,0.000123
P184,186.000000,0.000000,186.000000,-180.000000,89.000000,0.000000,0.125989,428.365701,-1133.826960,2.067780597,0.000002150,118.475101,0.000123
P185,188.000000,0.000000,188.000000,-180.000000,90.000000,0.000000,0.125343,433.126344,-1130.670185,2.055588489,0.000000000,117.776545,0.000000
